NU_ANO_CENSO,CO_UF,NO_MUNICIPIO,CO_IES,NO_CURSO,CO_CURSO,QT_VG_TOTAL,QT_ING,QT_ING_FEM,QT_ING_MASC,QT_ING_VESTIBULAR,QT_ING_ENEM,QT_ING_AVALIACAO_SERIADA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_VG_REMANESC,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_60_MAIS,QT_ING_BRANCA,QT_ING_PRETA,QT_ING_PARDA,QT_ING_AMARELA,QT_ING_INDIGENA,QT_ING_CORND,QT_MAT,QT_MAT_FEM,QT_MAT_MASC,QT_MAT_0_17,QT_MAT_18_24,QT_MAT_25_29,QT_MAT_30_34,QT_MAT_35_39,QT_MAT_40_49,QT_MAT_50_59,QT_MAT_60_MAIS,QT_MAT_BRANCA,QT_MAT_PRETA,QT_MAT_PARDA,QT_MAT_AMARELA,QT_MAT_INDIGENA,QT_MAT_CORND,QT_CONC,QT_CONC_FEM,QT_CONC_MASC,QT_CONC_0_17,QT_CONC_18_24,QT_CONC_25_29,QT_CONC_30_34,QT_CONC_35_39,QT_CONC_40_49,QT_CONC_50_59,QT_CONC_60_MAIS,QT_CONC_BRANCA,QT_CONC_PRETA,QT_CONC_PARDA,QT_CONC_AMARELA,QT_CONC_INDIGENA,QT_CONC_CORND,QT_SIT_DESVINCULADO,QT_SIT_TRANSFERIDO,QT_SIT_FALECIDO,SG_IES
2021,35.0,São Paulo,2811,Filosofia,1165863,118.0,7.0,2.0,5.0,2.0,0.0,0.0,3.0,2.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,49.0,16.0,33.0,0.0,26.0,8.0,5.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,48.0,17.0,6.0,11.0,0.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,5.0,5.0,0.0,FAPCOM
2021,35.0,São Paulo,2811,Fotografia,1182279,182.0,15.0,12.0,3.0,4.0,1.0,0.0,8.0,3.0,0.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,2.0,7.0,4.0,3.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,FAPCOM
2021,35.0,São Paulo,2811,Jornalismo,85771,190.0,35.0,20.0,15.0,23.0,9.0,0.0,5.0,7.0,0.0,29.0,5.0,1.0,0.0,0.0,0.0,0.0,17.0,2.0,8.0,1.0,0.0,7.0,150.0,98.0,52.0,0.0,124.0,18.0,5.0,0.0,1.0,1.0,1.0,20.0,1.0,9.0,2.0,0.0,118.0,40.0,25.0,15.0,0.0,30.0,8.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,38.0,1.0,0.0,FAPCOM
2021,35.0,São Paulo,2811,Produção Audiovisual,1257996,120.0,67.0,33.0,34.0,23.0,5.0,0.0,15.0,29.0,0.0,49.0,6.0,6.0,2.0,4.0,0.0,0.0,37.0,9.0,11.0,1.0,1.0,8.0,120.0,52.0,68.0,0.0,84.0,22.0,10.0,2.0,2.0,0.0,0.0,37.0,8.0,9.0,4.0,1.0,61.0,53.0,22.0,31.0,0.0,38.0,11.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,2.0,2.0,0.0,42.0,31.0,2.0,0.0,FAPCOM
2021,35.0,São Paulo,2811,Produção Multimídia,1163366,185.0,14.0,7.0,7.0,5.0,0.0,0.0,7.0,2.0,0.0,10.0,2.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,3.0,0.0,0.0,2.0,41.0,26.0,15.0,0.0,27.0,10.0,3.0,1.0,0.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,28.0,33.0,21.0,12.0,0.0,22.0,9.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,24.0,4.0,10.0,0.0,FAPCOM
2021,35.0,São Paulo,2811,Relações Públicas,85772,171.0,32.0,24.0,8.0,20.0,4.0,0.0,0.0,12.0,0.0,15.0,10.0,3.0,3.0,1.0,0.0,0.0,13.0,2.0,2.0,1.0,0.0,14.0,175.0,131.0,44.0,0.0,126.0,38.0,8.0,2.0,1.0,0.0,0.0,22.0,2.0,7.0,0.0,0.0,144.0,63.0,46.0,17.0,0.0,40.0,19.0,2.0,1.0,1.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,53.0,28.0,2.0,0.0,FAPCOM
2021,35.0,São Paulo,2811,"Rádio, Tv E Internet",85774,180.0,17.0,6.0,11.0,11.0,3.0,0.0,3.0,3.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,4.0,1.0,0.0,1.0,2.0,129.0,61.0,68.0,0.0,99.0,25.0,4.0,1.0,0.0,0.0,0.0,15.0,3.0,8.0,1.0,0.0,102.0,57.0,26.0,31.0,0.0,38.0,14.0,4.0,1.0,0.0,0.0,0.0,8.0,2.0,3.0,1.0,0.0,43.0,31.0,9.0,0.0,FAPCOM
2021,35.0,São Paulo,2886,Administração,58702,122.0,21.0,12.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,5.0,1.0,1.0,0.0,2.0,11.0,1.0,0.0,0.0,7.0,105.0,59.0,46.0,0.0,37.0,41.0,16.0,7.0,4.0,0.0,0.0,10.0,65.0,16.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,FAZP
2021,35.0,São Paulo,2886,Direito,104910,200.0,312.0,131.0,181.0,312.0,0.0,0.0,0.0,0.0,0.0,39.0,41.0,37.0,50.0,89.0,48.0,8.0,25.0,33.0,28.0,0.0,1.0,225.0,594.0,261.0,333.0,0.0,101.0,67.0,66.0,80.0,172.0,89.0,19.0,80.0,110.0,95.0,2.0,4.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,FAZP
2021,35.0,São Paulo,2886,Gestão De Recursos Humanos,1139043,400.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FAZP
