NU_ANO_CENSO,CO_IES,QT_VG_TOTAL,QT_ING,QT_SIT_DESVINCULADO,QT_SIT_TRANSFERIDO,QT_SIT_FALECIDO,SG_IES,NOME_CURSO
2018,699,70.0,11.0,57.0,0.0,0.0,UNIR,ENGENHARIA DE ALIMENTOS
2018,699,50.0,42.0,63.0,0.0,0.0,UNIR,PEDAGOGIA
2018,699,225.0,85.0,67.0,0.0,0.0,UNIR,ADMINISTRAÇÃO
2018,699,56.0,49.0,54.0,0.0,0.0,UNIR,CIÊNCIAS CONTÁBEIS
2018,699,134.0,101.0,74.0,1.0,0.0,UNIR,DIREITO
2018,699,124.0,46.0,62.0,1.0,0.0,UNIR,ENGENHARIA DE PRODUÇÃO
2018,699,50.0,51.0,91.0,0.0,0.0,UNIR,ADMINISTRAÇÃO
2018,699,87.0,47.0,48.0,0.0,0.0,UNIR,GESTÃO AMBIENTAL
2018,699,95.0,50.0,38.0,0.0,0.0,UNIR,LETRAS - PORTUGUÊS
2018,699,59.0,48.0,28.0,0.0,0.0,UNIR,PEDAGOGIA
2018,699,60.0,66.0,17.0,0.0,0.0,UNIR,EDUCAÇÃO BÁSICA INTERCULTURAL
2018,699,95.0,41.0,76.0,0.0,0.0,UNIR,ENGENHARIA AMBIENTAL
2018,699,145.0,32.0,95.0,0.0,0.0,UNIR,ESTATÍSTICA
2018,699,120.0,43.0,89.0,0.0,0.0,UNIR,FÍSICA
2018,699,67.0,1.0,17.0,1.0,0.0,UNIR,FÍSICA
2018,699,119.0,49.0,80.0,0.0,0.0,UNIR,MATEMÁTICA
2018,699,55.0,50.0,35.0,0.0,0.0,UNIR,PEDAGOGIA
2018,699,84.0,47.0,97.0,0.0,0.0,UNIR,ADMINISTRAÇÃO
2018,699,169.0,23.0,9.0,2.0,0.0,UNIR,ARQUEOLOGIA
2018,699,38.0,22.0,16.0,0.0,0.0,UNIR,ARTES VISUAIS
2018,699,93.0,48.0,73.0,2.0,0.0,UNIR,BIBLIOTECONOMIA
2018,699,49.0,42.0,52.0,2.0,0.0,UNIR,CIÊNCIA DA COMPUTAÇÃO
2018,699,46.0,19.0,25.0,0.0,0.0,UNIR,CIÊNCIAS BIOLÓGICAS
2018,699,67.0,29.0,34.0,0.0,0.0,UNIR,CIÊNCIAS BIOLÓGICAS
2018,699,85.0,45.0,77.0,0.0,0.0,UNIR,CIÊNCIAS CONTÁBEIS
2018,699,106.0,43.0,93.0,2.0,0.0,UNIR,CIÊNCIAS ECONÔMICAS
2018,699,89.0,44.0,51.0,2.0,0.0,UNIR,CIÊNCIAS SOCIAIS
2018,699,15.0,13.0,15.0,0.0,0.0,UNIR,COMPUTAÇÃO
2018,699,100.0,101.0,103.0,0.0,0.0,UNIR,DIREITO
